code,name,gender,medal_type,medal_code,country,country_code,nationality,discipline,event,event_type,birth_date
1903248,WILLEMS Gabriella,Female,Bronze Medal,3,Belgium,BEL,Belgium,Judo,Women -70 kg,HATH,01-07-1997
1958899,RUANO OLIVA Adriana,Female,Gold Medal,1,Guatemala,GUA,Guatemala,Shooting,Trap Women,ATH,26-06-1995
1915317,STANCO Silvana Maria,Female,Silver Medal,2,Italy,ITA,Italy,Shooting,Trap Women,ATH,06-01-1993
1967454,SMITH Penny,Female,Bronze Medal,3,Australia,AUS,Australia,Shooting,Trap Women,ATH,21-04-1995
1945148,PAN Zhanle,Male,Gold Medal,1,China,CHN,China,Swimming,Men's 100m Freestyle,ATH,04-08-2004
1946200,CHALMERS Kyle,Male,Silver Medal,2,Australia,AUS,Australia,Swimming,Men's 100m Freestyle,ATH,25-06-1998
1543549,POPOVICI David,Male,Bronze Medal,3,Romania,ROU,Romania,Swimming,Men's 100m Freestyle,ATH,15-09-2004
1909294,MARCHAND Leon,Male,Gold Medal,1,France,FRA,France,Swimming,Men's 200m Breaststroke,ATH,17-05-2002
1946185,STUBBLETY-COOK Zac,Male,Silver Medal,2,Australia,AUS,Australia,Swimming,Men's 200m Breaststroke,ATH,04-01-1999
1972545,CORBEAU Caspar,Male,Bronze Medal,3,Netherlands,NED,Netherlands,Swimming,Men's 200m Breaststroke,ATH,03-04-2001
1909294,MARCHAND Leon,Male,Gold Medal,1,France,FRA,France,Swimming,Men's 200m Butterfly,ATH,17-05-2002
1905860,MILAK Kristof,Male,Silver Medal,2,Hungary,HUN,Hungary,Swimming,Men's 200m Butterfly,ATH,20-02-2000
1967058,KHARUN Ilya,Male,Bronze Medal,3,Canada,CAN,Canada,Swimming,Men's 200m Butterfly,ATH,07-02-2005
1572557,SJOESTROEM Sarah,Female,Gold Medal,1,Sweden,SWE,Sweden,Swimming,Women's 100m Freestyle,ATH,17-08-1993
1935923,HUSKE Torri,Female,Silver Medal,2,United States,USA,United States,Swimming,Women's 100m Freestyle,ATH,07-12-2002
1925125,HAUGHEY Siobhan Bernadette,Female,Bronze Medal,3,"Hong Kong, China",HKG,"Hong Kong, China",Swimming,Women's 100m Freestyle,ATH,31-10-1997
1935938,LEDECKY Katie,Female,Gold Medal,1,United States,USA,United States,Swimming,Women's 1500m Freestyle,ATH,17-03-1997
1909209,KIRPICHNIKOVA Anastasiia,Female,Silver Medal,2,France,FRA,France,Swimming,Women's 1500m Freestyle,ATH,24-06-2000
1907171,GOSE Isabel,Female,Bronze Medal,3,Germany,GER,Germany,Swimming,Women's 1500m Freestyle,ATH,09-05-2002
1904251,YEE Alex,Male,Gold Medal,1,Great Britain,GBR,Great Britain,Triathlon,Men's Individual,ATH,18-02-1998
1926549,WILDE Hayden,Male,Silver Medal,2,New Zealand,NZL,New Zealand,Triathlon,Men's Individual,ATH,01-09-1997
1543967,BERGERE Leo,Male,Bronze Medal,3,France,FRA,France,Triathlon,Men's Individual,ATH,28-06-1996
1543963,BEAUGRAND Cassandre,Female,Gold Medal,1,France,FRA,France,Triathlon,Women's Individual,ATH,23-05-1997
1976489,DERRON Julie,Female,Silver Medal,2,Switzerland,SUI,Switzerland,Triathlon,Women's Individual,ATH,10-09-1996
1904244,POTTER Beth,Female,Bronze Medal,3,Great Britain,GBR,Great Britain,Triathlon,Women's Individual,ATH,27-12-1991
1959861,BILES Simone,Female,Gold Medal,1,United States,USA,United States,Artistic Gymnastics,Women's All-Around,ATH,14-03-1997
1953634,ANDRADE Rebeca,Female,Silver Medal,2,Brazil,BRA,Brazil,Artistic Gymnastics,Women's All-Around,ATH,08-05-1999
1959866,LEE Sunisa,Female,Bronze Medal,3,United States,USA,United States,Artistic Gymnastics,Women's All-Around,ATH,09-03-2003
1929767,PINTADO Brian Daniel,Male,Gold Medal,1,Ecuador,ECU,Ecuador,Athletics,Men's 20km Race Walk,ATH,29-07-1995
1951928,BONFIM Caio,Male,Silver Medal,2,Brazil,BRA,Brazil,Athletics,Men's 20km Race Walk,ATH,19-03-1991
1904165,MARTIN Alvaro,Male,Bronze Medal,3,Spain,ESP,Spain,Athletics,Men's 20km Race Walk,ATH,18-06-1994
1919002,YANG Jiayu,Female,Gold Medal,1,China,CHN,China,Athletics,Women's 20km Race Walk,ATH,18-02-1996
1905369,PEREZ Maria,Female,Silver Medal,2,Spain,ESP,Spain,Athletics,Women's 20km Race Walk,ATH,29-04-1996
1939791,MONTAG Jemima,Female,Bronze Medal,3,Australia,AUS,Australia,Athletics,Women's 20km Race Walk,ATH,15-02-1998
1550975,de GENNARO Giovanni,Male,Gold Medal,1,Italy,ITA,Italy,Canoe Slalom,Men's Kayak Single,ATH,21-07-1992
1880464,CASTRYCK Titouan,Male,Silver Medal,2,France,FRA,France,Canoe Slalom,Men's Kayak Single,ATH,28-08-2004
1953935,ECHANIZ Pau,Male,Bronze Medal,3,Spain,ESP,Spain,Canoe Slalom,Men's Kayak Single,ATH,29-05-2001
1972367,KOTSOIEV Zelym,Male,Gold Medal,1,Azerbaijan,AZE,Azerbaijan,Judo,Men -100 kg,HATH,09-08-1998
1552370,SULAMANIDZE Ilia,Male,Silver Medal,2,Georgia,GEO,Georgia,Judo,Men -100 kg,HATH,18-06-2001
1892957,PALTCHIK Peter,Male,Bronze Medal,3,Israel,ISR,Israel,Judo,Men -100 kg,HATH,04-01-1992
1565754,TUROBOYEV Muzaffarbek,Male,Bronze Medal,3,Uzbekistan,UZB,Uzbekistan,Judo,Men -100 kg,HATH,05-04-2000
1925349,BELLANDI Alice,Female,Gold Medal,1,Italy,ITA,Italy,Judo,Women -78 kg,HATH,20-11-1998
1892794,LANIR Inbar,Female,Silver Medal,2,Israel,ISR,Israel,Judo,Women -78 kg,HATH,03-04-2000
1891067,MA Zhenzhao,Female,Bronze Medal,3,China,CHN,China,Judo,Women -78 kg,HATH,24-04-1998
1943504,SAMPAIO Patricia,Female,Bronze Medal,3,Portugal,POR,Portugal,Judo,Women -78 kg,HATH,30-06-1999
1913922,LIU Yukun,Male,Gold Medal,1,China,CHN,China,Shooting,50m Rifle 3 Positions Men,ATH,12-04-1997
1555976,KULISH Serhiy,Male,Silver Medal,2,Ukraine,UKR,Ukraine,Shooting,50m Rifle 3 Positions Men,ATH,17-04-1993
1538084,KUSALE Swapnil,Male,Bronze Medal,3,India,IND,India,Shooting,50m Rifle 3 Positions Men,ATH,06-08-1995
1904977,KOS Hubert,Male,Gold Medal,1,Hungary,HUN,Hungary,Swimming,Men's 200m Backstroke,ATH,28-03-2003
1954557,CHRISTOU Apostolos,Male,Silver Medal,2,Greece,GRE,Greece,Swimming,Men's 200m Backstroke,ATH,01-11-1996
1977754,MITYUKOV Roman,Male,Bronze Medal,3,Switzerland,SUI,Switzerland,Swimming,Men's 200m Backstroke,ATH,30-07-2000
1935895,DOUGLASS Kate,Female,Gold Medal,1,United States,USA,United States,Swimming,Women's 200m Breaststroke,ATH,17-11-2001
1962589,SMITH Tatjana,Female,Silver Medal,2,South Africa,RSA,South Africa,Swimming,Women's 200m Breaststroke,ATH,09-07-1997
1972525,SCHOUTEN Tes,Female,Bronze Medal,3,Netherlands,NED,Netherlands,Swimming,Women's 200m Breaststroke,ATH,31-12-2000
1967140,McINTOSH Summer,Female,Gold Medal,1,Canada,CAN,Canada,Swimming,Women's 200m Butterfly,ATH,18-08-2006
1935984,SMITH Regan,Female,Silver Medal,2,United States,USA,United States,Swimming,Women's 200m Butterfly,ATH,09-02-2002
1945125,ZHANG Yufei,Female,Bronze Medal,3,China,CHN,China,Swimming,Women's 200m Butterfly,ATH,19-04-1998
1970827,CHEPTEGEI Joshua,Male,Gold Medal,1,Uganda,UGA,Uganda,Athletics,"Men's 10,000m",ATH,12-09-1996
1536998,AREGAWI Berihu,Male,Silver Medal,2,Ethiopia,ETH,Ethiopia,Athletics,"Men's 10,000m",ATH,28-02-2001
1960959,FISHER Grant,Male,Bronze Medal,3,United States,USA,United States,Athletics,"Men's 10,000m",ATH,22-04-1997
1895661,DAUDET Joris,Male,Gold Medal,1,France,FRA,France,Cycling BMX Racing,Men,ATH,12-02-1991
1895640,ANDRE Sylvain,Male,Silver Medal,2,France,FRA,France,Cycling BMX Racing,Men,ATH,14-10-1992
1895700,MAHIEU Romain,Male,Bronze Medal,3,France,FRA,France,Cycling BMX Racing,Men,ATH,17-02-1995
1940127,SAKAKIBARA Saya,Female,Gold Medal,1,Australia,AUS,Australia,Cycling BMX Racing,Women,ATH,23-08-1999
1969181,VEENSTRA Manon,Female,Silver Medal,2,Netherlands,NED,Netherlands,Cycling BMX Racing,Women,ATH,06-07-1998
1976480,CLAESSENS Zoe,Female,Bronze Medal,3,Switzerland,SUI,Switzerland,Cycling BMX Racing,Women,ATH,28-04-2001
1891323,RINER Teddy,Male,Gold Medal,1,France,FRA,France,Judo,Men +100 kg,HATH,07-04-1989
1928072,KIM Minjong,Male,Silver Medal,2,Korea,KOR,Korea,Judo,Men +100 kg,HATH,01-09-2000
1567512,RAKHIMOV Temur,Male,Bronze Medal,3,Tajikistan,TJK,Tajikistan,Judo,Men +100 kg,HATH,08-07-1997
1566931,YUSUPOV Alisher,Male,Bronze Medal,3,Uzbekistan,UZB,Uzbekistan,Judo,Men +100 kg,HATH,27-11-1998
1953777,SOUZA Beatriz,Female,Gold Medal,1,Brazil,BRA,Brazil,Judo,Women +78 kg,HATH,20-05-1998
1892796,HERSHKO Raz,Female,Silver Medal,2,Israel,ISR,Israel,Judo,Women +78 kg,HATH,19-06-1998
1928070,KIM Hayun,Female,Bronze Medal,3,Korea,KOR,Korea,Judo,Women +78 kg,HATH,07-01-2000
1891300,DICKO Romane,Female,Bronze Medal,3,France,FRA,France,Judo,Women +78 kg,HATH,30-09-1999
1977709,LEONE Chiara,Female,Gold Medal,1,Switzerland,SUI,Switzerland,Shooting,50m Rifle 3 Positions Women,ATH,15-06-1998
1944373,MADDALENA Sagen,Female,Silver Medal,2,United States,USA,United States,Shooting,50m Rifle 3 Positions Women,ATH,16-08-1993
1913972,ZHANG Qiongyue,Female,Bronze Medal,3,China,CHN,China,Shooting,50m Rifle 3 Positions Women,ATH,12-03-2004
1909294,MARCHAND Leon,Male,Gold Medal,1,France,FRA,France,Swimming,Men's 200m Individual Medley,ATH,17-05-2002
1903621,SCOTT Duncan,Male,Silver Medal,2,Great Britain,GBR,Great Britain,Swimming,Men's 200m Individual Medley,ATH,06-05-1997
1945186,WANG Shun,Male,Bronze Medal,3,China,CHN,China,Swimming,Men's 200m Individual Medley,ATH,11-02-1994
1946161,McEVOY Cameron,Male,Gold Medal,1,Australia,AUS,Australia,Swimming,Men's 50m Freestyle,ATH,13-05-1994
1903616,PROUD Benjamin,Male,Silver Medal,2,Great Britain,GBR,Great Britain,Swimming,Men's 50m Freestyle,ATH,21-09-1994
1909292,MANAUDOU Florent,Male,Bronze Medal,3,France,FRA,France,Swimming,Men's 50m Freestyle,ATH,12-11-1990
1946198,McKEOWN Kaylee,Female,Gold Medal,1,Australia,AUS,Australia,Swimming,Women's 200m Backstroke,ATH,12-07-2001
1935984,SMITH Regan,Female,Silver Medal,2,United States,USA,United States,Swimming,Women's 200m Backstroke,ATH,09-02-2002
1967104,MASSE Kylie,Female,Bronze Medal,3,Canada,CAN,Canada,Swimming,Women's 200m Backstroke,ATH,18-01-1996
1931815,SWIATEK Iga,Female,Bronze Medal,3,Poland,POL,Poland,Tennis,Women's Singles,HATH,31-05-2001
1937347,LITVINOVICH Ivan,Male,Gold Medal,1,AIN,AIN,Belarus,Trampoline Gymnastics,Men,ATH,26-06-2001
1918790,WANG Zisai,Male,Silver Medal,2,China,CHN,China,Trampoline Gymnastics,Men,ATH,18-06-2006
1918789,YAN Langyu,Male,Bronze Medal,3,China,CHN,China,Trampoline Gymnastics,Men,ATH,31-08-1999
1904745,PAGE Bryony,Female,Gold Medal,1,Great Britain,GBR,Great Britain,Trampoline Gymnastics,Women,ATH,10-12-1990
1938437,BARDZILOUSKAYA Viyaleta,Female,Silver Medal,2,AIN,AIN,Belarus,Trampoline Gymnastics,Women,ATH,07-06-2005
1973102,METHOT Sophiane,Female,Bronze Medal,3,Canada,CAN,Canada,Trampoline Gymnastics,Women,ATH,03-08-1998
1902147,LIM Sihyeon,Female,Gold Medal,1,Korea,KOR,Korea,Archery,Women's Individual,HATH,13-06-2003
1902148,NAM Suhyeon,Female,Silver Medal,2,Korea,KOR,Korea,Archery,Women's Individual,HATH,27-01-2005
1541265,BARBELIN Lisa,Female,Bronze Medal,3,France,FRA,France,Archery,Women's Individual,HATH,10-04-2000
1975874,YULO Carlos Edriel,Male,Gold Medal,1,Philippines,PHI,Philippines,Artistic Gymnastics,Men's Floor Exercise,ATH,16-02-2000
1908195,DOLGOPYAT Artem,Male,Silver Medal,2,Israel,ISR,Israel,Artistic Gymnastics,Men's Floor Exercise,ATH,16-06-1997
1904741,JARMAN Jake,Male,Bronze Medal,3,Great Britain,GBR,Great Britain,Artistic Gymnastics,Men's Floor Exercise,ATH,03-12-2001
1539986,Mc CLENAGHAN Rhys,Male,Gold Medal,1,Ireland,IRL,Ireland,Artistic Gymnastics,Men's Pommel Horse,ATH,21-07-1999
1931577,KURBANOV Nariman,Male,Silver Medal,2,Kazakhstan,KAZ,Kazakhstan,Artistic Gymnastics,Men's Pommel Horse,ATH,06-12-1997
1959865,NEDOROSCIK Stephen,Male,Bronze Medal,3,United States,USA,United States,Artistic Gymnastics,Men's Pommel Horse,ATH,28-10-1998
1959861,BILES Simone,Female,Gold Medal,1,United States,USA,United States,Artistic Gymnastics,Women's Vault,ATH,14-03-1997
1953634,ANDRADE Rebeca,Female,Silver Medal,2,Brazil,BRA,Brazil,Artistic Gymnastics,Women's Vault,ATH,08-05-1999
1959819,CAREY Jade,Female,Bronze Medal,3,United States,USA,United States,Artistic Gymnastics,Women's Vault,ATH,27-05-2000
1878353,ROOTH Markus,Male,Gold Medal,1,Norway,NOR,Norway,Athletics,Men's Decathlon,ATH,22-12-2001
1920180,NEUGEBAUER Leo,Male,Silver Medal,2,Germany,GER,Germany,Athletics,Men's Decathlon,ATH,19-06-2000
1573388,VICTOR Lindon,Male,Bronze Medal,3,Grenada,GRN,Grenada,Athletics,Men's Decathlon,ATH,28-02-1993
1960688,CROUSER Ryan,Male,Gold Medal,1,United States,USA,United States,Athletics,Men's Shot Put,ATH,18-12-1992
1965246,KOVACS Joe,Male,Silver Medal,2,United States,USA,United States,Athletics,Men's Shot Put,ATH,28-06-1989
1564189,CAMPBELL Rajindra,Male,Bronze Medal,3,Jamaica,JAM,Jamaica,Athletics,Men's Shot Put,ATH,29-02-1996
1537325,ALFRED Julien,Female,Gold Medal,1,Saint Lucia,LCA,Saint Lucia,Athletics,Women's 100m,ATH,10-06-2001
1960181,RICHARDSON Sha'carri,Female,Silver Medal,2,United States,USA,United States,Athletics,Women's 100m,ATH,25-03-2000
1961011,JEFFERSON Melissa,Female,Bronze Medal,3,United States,USA,United States,Athletics,Women's 100m,ATH,21-02-2001
1908333,LAFOND Thea,Female,Gold Medal,1,Dominica,DMA,Dominica,Athletics,Women's Triple Jump,ATH,05-04-1994
1536885,RICKETTS Shanieka,Female,Silver Medal,2,Jamaica,JAM,Jamaica,Athletics,Women's Triple Jump,ATH,02-02-1992
1965250,MOORE Jasmine,Female,Bronze Medal,3,United States,USA,United States,Athletics,Women's Triple Jump,ATH,01-05-2001
1887970,WU Shih Yi,Female,Bronze Medal,3,Chinese Taipei,TPE,Chinese Taipei,Boxing,Women's 60kg,HATH,27-04-1998
1952540,SOARES FERREIRA Beatriz Iasmin,Female,Bronze Medal,3,Brazil,BRA,Brazil,Boxing,Women's 60kg,HATH,09-12-1992
1903136,EVENEPOEL Remco,Male,Gold Medal,1,Belgium,BEL,Belgium,Cycling Road,Men's Road Race,ATH,25-01-2000
1895699,MADOUAS Valentin,Male,Silver Medal,2,France,FRA,France,Cycling Road,Men's Road Race,ATH,12-07-1996
1895694,LAPORTE Christophe,Male,Bronze Medal,3,France,FRA,France,Cycling Road,Men's Road Race,ATH,11-12-1992
1906515,ZEIDLER Oliver,Male,Gold Medal,1,Germany,GER,Germany,Rowing,Men's Single Sculls,ATH,24-07-1996
1538160,ZALATY Yauheni,Male,Silver Medal,2,AIN,AIN,Belarus,Rowing,Men's Single Sculls,ATH,09-09-1999
1965599,van DORP Simon,Male,Bronze Medal,3,Netherlands,NED,Netherlands,Rowing,Men's Single Sculls,ATH,10-04-1997
1965558,FLORIJN Karolien,Female,Gold Medal,1,Netherlands,NED,Netherlands,Rowing,Women's Single Sculls,ATH,06-04-1998
1927027,TWIGG Emma,Female,Silver Medal,2,New Zealand,NZL,New Zealand,Rowing,Women's Single Sculls,ATH,01-03-1987
1941956,SENKUTE Viktorija,Female,Bronze Medal,3,Lithuania,LTU,Lithuania,Rowing,Women's Single Sculls,ATH,12-04-1996
1927680,REUVENY Tom,Male,Gold Medal,1,Israel,ISR,Israel,Sailing,Men's Windsurfing,ATH,12-06-2000
1945982,MORRIS Grae,Male,Silver Medal,2,Australia,AUS,Australia,Sailing,Men's Windsurfing,ATH,16-10-2003
1970505,van OPZEELAND Luuc,Male,Bronze Medal,3,Netherlands,NED,Netherlands,Sailing,Men's Windsurfing,ATH,21-05-1999
1899653,MAGGETTI Marta,Female,Gold Medal,1,Italy,ITA,Italy,Sailing,Women's Windsurfing,ATH,10-01-1996
1927733,KANTOR Sharon,Female,Silver Medal,2,Israel,ISR,Israel,Sailing,Women's Windsurfing,ATH,28-01-2003
1899748,WILSON Emma,Female,Bronze Medal,3,Great Britain,GBR,Great Britain,Sailing,Women's Windsurfing,ATH,07-04-1999
1893995,YANG Jiin,Female,Gold Medal,1,Korea,KOR,Korea,Shooting,25m Pistol Women,ATH,20-05-2003
1888429,JEDRZEJEWSKI Camille,Female,Silver Medal,2,France,FRA,France,Shooting,25m Pistol Women,ATH,25-04-2002
1899493,MAJOR Veronika,Female,Bronze Medal,3,Hungary,HUN,Hungary,Shooting,25m Pistol Women,ATH,19-03-1997
1944354,HANCOCK Vincent,Male,Gold Medal,1,United States,USA,United States,Shooting,Skeet Men,ATH,19-03-1989
1944385,PRINCE Conner Lynn,Male,Silver Medal,2,United States,USA,United States,Shooting,Skeet Men,ATH,28-03-2000
1569852,LEE Meng Yuan,Male,Bronze Medal,3,Chinese Taipei,TPE,Chinese Taipei,Shooting,Skeet Men,ATH,25-08-1994
1905860,MILAK Kristof,Male,Gold Medal,1,Hungary,HUN,Hungary,Swimming,Men's 100m Butterfly,ATH,20-02-2000
1967069,LIENDO Josh,Male,Silver Medal,2,Canada,CAN,Canada,Swimming,Men's 100m Butterfly,ATH,20-08-2002
1967058,KHARUN Ilya,Male,Bronze Medal,3,Canada,CAN,Canada,Swimming,Men's 100m Butterfly,ATH,07-02-2005
