medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type
Bronze Medal,3,07-08-2024,Abraham KIBIWOT,KEN,M,Athletics,Men's 3000m Steeplechase,ATH
Gold Medal,1,07-08-2024,Quincy HALL,USA,M,Athletics,Men's 400m,ATH
Silver Medal,2,07-08-2024,Matthew HUDSON-SMITH,GBR,M,Athletics,Men's 400m,ATH
Bronze Medal,3,07-08-2024,Muzala SAMUKONGA,ZAM,M,Athletics,Men's 400m,ATH
Gold Medal,1,07-08-2024,Roje STONA,JAM,M,Athletics,Men's Discus Throw,ATH
Silver Medal,2,07-08-2024,Mykolas ALEKNA,LTU,M,Athletics,Men's Discus Throw,ATH
Bronze Medal,3,07-08-2024,Matthew DENNY,AUS,M,Athletics,Men's Discus Throw,ATH
Gold Medal,1,07-08-2024,Nina KENNEDY,AUS,W,Athletics,Women's Pole Vault,ATH
Silver Medal,2,07-08-2024,Katie MOON,USA,W,Athletics,Women's Pole Vault,ATH
Bronze Medal,3,07-08-2024,Alysha NEWMAN,CAN,W,Athletics,Women's Pole Vault,ATH
Bronze Medal,3,07-08-2024,Nelvie Raman TIAFACK,GER,M,Boxing,Men's +92kg,HATH
Bronze Medal,3,07-08-2024,Djamili-Dini ABOUDOU MOINDZE,FRA,M,Boxing,Men's +92kg,HATH
Gold Medal,1,07-08-2024,Erislandy ALVAREZ BORGES,CUB,M,Boxing,Men's 63.5kg,HATH
Silver Medal,2,07-08-2024,Sofiane OUMIHA,FRA,M,Boxing,Men's 63.5kg,HATH
Gold Medal,1,07-08-2024,Oleksandr KHYZHNIAK,UKR,M,Boxing,Men's 80kg,HATH
Silver Medal,2,07-08-2024,Nurbek ORALBAY,KAZ,M,Boxing,Men's 80kg,HATH
Bronze Medal,3,07-08-2024,Esra YILDIZ KAHRAMAN,TUR,W,Boxing,Women's 57kg,HATH
Bronze Medal,3,07-08-2024,Nesthy PETECIO,PHI,W,Boxing,Women's 57kg,HATH
Gold Medal,1,07-08-2024,Australia,AUS,M,Cycling Track,Men's Team Pursuit,TEAM
Silver Medal,2,07-08-2024,Great Britain,GBR,M,Cycling Track,Men's Team Pursuit,TEAM
Bronze Medal,3,07-08-2024,Italy,ITA,M,Cycling Track,Men's Team Pursuit,TEAM
Gold Medal,1,07-08-2024,United States,USA,W,Cycling Track,Women's Team Pursuit,TEAM
Silver Medal,2,07-08-2024,New Zealand,NZL,W,Cycling Track,Women's Team Pursuit,TEAM
Bronze Medal,3,07-08-2024,Great Britain,GBR,W,Cycling Track,Women's Team Pursuit,TEAM
Gold Medal,1,07-08-2024,Matt WEARN,AUS,M,Sailing,Men's Dinghy,ATH
Silver Medal,2,07-08-2024,Pavlos KONTIDES,CYP,M,Sailing,Men's Dinghy,ATH
Bronze Medal,3,07-08-2024,Stefano PESCHIERA,PER,M,Sailing,Men's Dinghy,ATH
Gold Medal,1,07-08-2024,Marit BOUWMEESTER,NED,W,Sailing,Women's Dinghy,ATH
Silver Medal,2,07-08-2024,Anne-Marie RINDOM,DEN,W,Sailing,Women's Dinghy,ATH
Bronze Medal,3,07-08-2024,Line Flem HOEST,NOR,W,Sailing,Women's Dinghy,ATH
Gold Medal,1,07-08-2024,Keegan PALMER,AUS,M,Skateboarding,Men's Park,ATH
Silver Medal,2,07-08-2024,Tom SCHAAR,USA,M,Skateboarding,Men's Park,ATH
Bronze Medal,3,07-08-2024,Augusto AKIO,BRA,M,Skateboarding,Men's Park,ATH
Gold Medal,1,07-08-2024,Aleksandra MIROSLAW,POL,W,Sport Climbing,Women's Speed,ATH
Silver Medal,2,07-08-2024,DENG Lijuan,CHN,W,Sport Climbing,Women's Speed,ATH
Bronze Medal,3,07-08-2024,Aleksandra KALUCKA,POL,W,Sport Climbing,Women's Speed,ATH
Gold Medal,1,07-08-2024,PARK Taejoon,KOR,M,Taekwondo,Men -58kg,HATH
Silver Medal,2,07-08-2024,Gashim MAGOMEDOV,AZE,M,Taekwondo,Men -58kg,HATH
Bronze Medal,3,07-08-2024,Cyrian RAVET,FRA,M,Taekwondo,Men -58kg,HATH
Bronze Medal,3,07-08-2024,Mohamed Khalil JENDOUBI,TUN,M,Taekwondo,Men -58kg,HATH
Gold Medal,1,07-08-2024,Panipak WONGPATTANAKIT,THA,W,Taekwondo,Women -49kg,HATH
Silver Medal,2,07-08-2024,GUO Qing,CHN,W,Taekwondo,Women -49kg,HATH
Bronze Medal,3,07-08-2024,Mobina NEMATZADEH,IRI,W,Taekwondo,Women -49kg,HATH
Bronze Medal,3,07-08-2024,Lena STOJKOVIC,CRO,W,Taekwondo,Women -49kg,HATH
Gold Medal,1,07-08-2024,LI Fabin,CHN,M,Weightlifting,Men's 61kg,ATH
Silver Medal,2,07-08-2024,Theerapong SILACHAI,THA,M,Weightlifting,Men's 61kg,ATH
Bronze Medal,3,07-08-2024,Hampton MORRIS,USA,M,Weightlifting,Men's 61kg,ATH
Gold Medal,1,07-08-2024,HOU Zhihui,CHN,W,Weightlifting,Women's 49kg,ATH
Silver Medal,2,07-08-2024,Mihaela Valentina CAMBEI,ROU,W,Weightlifting,Women's 49kg,ATH
Bronze Medal,3,07-08-2024,Surodchana KHAMBAO,THA,W,Weightlifting,Women's 49kg,ATH
Gold Medal,1,07-08-2024,KUSAKA Nao,JPN,M,Wrestling,Men's Greco-Roman 77kg,HATH
Silver Medal,2,07-08-2024,Demeu ZHADRAYEV,KAZ,M,Wrestling,Men's Greco-Roman 77kg,HATH
Bronze Medal,3,07-08-2024,Malkhas AMOYAN,ARM,M,Wrestling,Men's Greco-Roman 77kg,HATH
Bronze Medal,3,07-08-2024,Akzhol MAKHMUDOV,KGZ,M,Wrestling,Men's Greco-Roman 77kg,HATH
Gold Medal,1,07-08-2024,Mohammadhadi SARAVI,IRI,M,Wrestling,Men's Greco-Roman 97kg,HATH
Silver Medal,2,07-08-2024,Artur ALEKSANYAN,ARM,M,Wrestling,Men's Greco-Roman 97kg,HATH
Bronze Medal,3,07-08-2024,Gabriel Alejandro ROSILLO KINDELAN,CUB,M,Wrestling,Men's Greco-Roman 97kg,HATH
Bronze Medal,3,07-08-2024,Uzur DZHUZUPBEKOV,KGZ,M,Wrestling,Men's Greco-Roman 97kg,HATH
Gold Medal,1,07-08-2024,Sarah Ann HILDEBRANDT,USA,W,Wrestling,Women's Freestyle 50kg,HATH
Silver Medal,2,07-08-2024,Yusneylis GUZMAN LOPEZ,CUB,W,Wrestling,Women's Freestyle 50kg,HATH
Bronze Medal,3,07-08-2024,SUSAKI Yui,JPN,W,Wrestling,Women's Freestyle 50kg,HATH
Bronze Medal,3,07-08-2024,FENG Ziqi,CHN,W,Wrestling,Women's Freestyle 50kg,HATH
Gold Medal,1,08-08-2024,Grant HOLLOWAY,USA,M,Athletics,Men's 110m Hurdles,ATH
Silver Medal,2,08-08-2024,Daniel ROBERTS,USA,M,Athletics,Men's 110m Hurdles,ATH
Bronze Medal,3,08-08-2024,Rasheed BROADBELL,JAM,M,Athletics,Men's 110m Hurdles,ATH
Gold Medal,1,08-08-2024,Letsile TEBOGO,BOT,M,Athletics,Men's 200m,ATH
Silver Medal,2,08-08-2024,Kenneth BEDNAREK,USA,M,Athletics,Men's 200m,ATH
Bronze Medal,3,08-08-2024,Noah LYLES,USA,M,Athletics,Men's 200m,ATH
Gold Medal,1,08-08-2024,Arshad NADEEM,PAK,M,Athletics,Men's Javelin Throw,ATH
Silver Medal,2,08-08-2024,Neeraj CHOPRA,IND,M,Athletics,Men's Javelin Throw,ATH
Bronze Medal,3,08-08-2024,Anderson PETERS,GRN,M,Athletics,Men's Javelin Throw,ATH
Gold Medal,1,08-08-2024,Sydney McLAUGHLIN-LEVRONE,USA,W,Athletics,Women's 400m Hurdles,ATH
Silver Medal,2,08-08-2024,Anna COCKRELL,USA,W,Athletics,Women's 400m Hurdles,ATH
Bronze Medal,3,08-08-2024,Femke BOL,NED,W,Athletics,Women's 400m Hurdles,ATH
Gold Medal,1,08-08-2024,Tara DAVIS-WOODHALL,USA,W,Athletics,Women's Long Jump,ATH
Silver Medal,2,08-08-2024,Malaika MIHAMBO,GER,W,Athletics,Women's Long Jump,ATH
Bronze Medal,3,08-08-2024,Jasmine MOORE,USA,W,Athletics,Women's Long Jump,ATH
Gold Medal,1,08-08-2024,Hasanboy DUSMATOV,UZB,M,Boxing,Men's 51kg,HATH
Silver Medal,2,08-08-2024,Billal BENNAMA,FRA,M,Boxing,Men's 51kg,HATH
Bronze Medal,3,08-08-2024,Charlie SENIOR,AUS,M,Boxing,Men's 57kg,HATH
Bronze Medal,3,08-08-2024,Javier IBANEZ DIAZ,BUL,M,Boxing,Men's 57kg,HATH
Gold Medal,1,08-08-2024,CHANG Yuan,CHN,W,Boxing,Women's 54kg,HATH
Silver Medal,2,08-08-2024,Hatice AKBAS,TUR,W,Boxing,Women's 54kg,HATH
Bronze Medal,3,08-08-2024,Caitlin PARKER,AUS,W,Boxing,Women's 75kg,HATH
Bronze Medal,3,08-08-2024,Cindy Winner DJANKEU NGAMBA,EOR,W,Boxing,Women's 75kg,HATH
Gold Medal,1,08-08-2024,LIU/JI,CHN,M,Canoe Sprint,Men's Canoe Double 500m,COUP
Silver Medal,2,08-08-2024,CASADEI/TACCHINI,ITA,M,Canoe Sprint,Men's Canoe Double 500m,COUP
Bronze Medal,3,08-08-2024,MORENO/DOMINGUEZ,ESP,M,Canoe Sprint,Men's Canoe Double 500m,COUP
Gold Medal,1,08-08-2024,Germany,GER,M,Canoe Sprint,Men's Kayak Four 500m,TEAM
Silver Medal,2,08-08-2024,Australia,AUS,M,Canoe Sprint,Men's Kayak Four 500m,TEAM
Bronze Medal,3,08-08-2024,Spain,ESP,M,Canoe Sprint,Men's Kayak Four 500m,TEAM
Gold Medal,1,08-08-2024,New Zealand,NZL,W,Canoe Sprint,Women's Kayak Four 500m,TEAM
Silver Medal,2,08-08-2024,Germany,GER,W,Canoe Sprint,Women's Kayak Four 500m,TEAM
Bronze Medal,3,08-08-2024,Hungary,HUN,W,Canoe Sprint,Women's Kayak Four 500m,TEAM
Gold Medal,1,08-08-2024,Benjamin THOMAS,FRA,M,Cycling Track,Men's Omnium,ATH
Silver Medal,2,08-08-2024,Iuri LEITAO,POR,M,Cycling Track,Men's Omnium,ATH
Bronze Medal,3,08-08-2024,Fabio van den BOSSCHE,BEL,M,Cycling Track,Men's Omnium,ATH
Gold Medal,1,08-08-2024,Ellesse ANDREWS,NZL,W,Cycling Track,Women's Keirin,ATH
Silver Medal,2,08-08-2024,Hetty van de WOUW,NED,W,Cycling Track,Women's Keirin,ATH
Bronze Medal,3,08-08-2024,Emma FINUCANE,GBR,W,Cycling Track,Women's Keirin,ATH
Gold Medal,1,08-08-2024,XIE Siyi,CHN,M,Diving,Men's 3m Springboard,ATH
Silver Medal,2,08-08-2024,WANG Zongyuan,CHN,M,Diving,Men's 3m Springboard,ATH
Bronze Medal,3,08-08-2024,Osmar OLVERA IBARRA,MEX,M,Diving,Men's 3m Springboard,ATH
Bronze Medal,3,08-08-2024,Morocco,MAR,M,Football,Men,HTEAM
Gold Medal,1,08-08-2024,Netherlands,NED,M,Hockey,Men,HTEAM
Silver Medal,2,08-08-2024,Germany,GER,M,Hockey,Men,HTEAM
Bronze Medal,3,08-08-2024,India,IND,M,Hockey,Men,HTEAM
Gold Medal,1,08-08-2024,Sharon van ROUWENDAAL,NED,W,Marathon Swimming,Women's 10km,ATH
Silver Medal,2,08-08-2024,Moesha JOHNSON,AUS,W,Marathon Swimming,Women's 10km,ATH
Bronze Medal,3,08-08-2024,Ginevra TADDEUCCI,ITA,W,Marathon Swimming,Women's 10km,ATH
Gold Medal,1,08-08-2024,VADLAU/MAEHR,AUT,X,Sailing,Mixed Dinghy,TEAM
Silver Medal,2,08-08-2024,OKADA/YOSHIOKA,JPN,X,Sailing,Mixed Dinghy,TEAM
Bronze Medal,3,08-08-2024,DAHLBERG/KARLSSON,SWE,X,Sailing,Mixed Dinghy,TEAM
Gold Medal,1,08-08-2024,TITA/BANTI,ITA,X,Sailing,Mixed Multihull,TEAM
Silver Medal,2,08-08-2024,MAJDALANI/BOSCO,ARG,X,Sailing,Mixed Multihull,TEAM
Bronze Medal,3,08-08-2024,WILKINSON/DAWSON,NZL,X,Sailing,Mixed Multihull,TEAM
Gold Medal,1,08-08-2024,Eleanor ALDRIDGE,GBR,W,Sailing,Women's Kite,ATH
Silver Medal,2,08-08-2024,Lauriane NOLOT,FRA,W,Sailing,Women's Kite,ATH
Bronze Medal,3,08-08-2024,Annelous LAMMERTS,NED,W,Sailing,Women's Kite,ATH
Gold Medal,1,08-08-2024,Veddriq LEONARDO,INA,M,Sport Climbing,Men's Speed,ATH
Silver Medal,2,08-08-2024,WU Peng,CHN,M,Sport Climbing,Men's Speed,ATH
Bronze Medal,3,08-08-2024,Sam WATSON,USA,M,Sport Climbing,Men's Speed,ATH
Gold Medal,1,08-08-2024,Ulugbek RASHITOV,UZB,M,Taekwondo,Men -68kg,HATH
Silver Medal,2,08-08-2024,Zaid KAREEM,JOR,M,Taekwondo,Men -68kg,HATH
Bronze Medal,3,08-08-2024,LIANG Yushuai,CHN,M,Taekwondo,Men -68kg,HATH
Bronze Medal,3,08-08-2024,Edival PONTES,BRA,M,Taekwondo,Men -68kg,HATH
Gold Medal,1,08-08-2024,KIM Yujin,KOR,W,Taekwondo,Women -57kg,HATH
Silver Medal,2,08-08-2024,Nahid KIYANICHANDEH,IRI,W,Taekwondo,Women -57kg,HATH
Bronze Medal,3,08-08-2024,Skylar PARK,CAN,W,Taekwondo,Women -57kg,HATH
Bronze Medal,3,08-08-2024,Alizadeh KIMIA,BUL,W,Taekwondo,Women -57kg,HATH
Gold Medal,1,08-08-2024,Rizki JUNIANSYAH,INA,M,Weightlifting,Men's 73kg,ATH
Silver Medal,2,08-08-2024,Weeraphon WICHUMA,THA,M,Weightlifting,Men's 73kg,ATH
Bronze Medal,3,08-08-2024,Bozhidar Dimitrov ANDREEV,BUL,M,Weightlifting,Men's 73kg,ATH
Gold Medal,1,08-08-2024,LUO Shifang,CHN,W,Weightlifting,Women's 59kg,ATH
Silver Medal,2,08-08-2024,Maude CHARRON,CAN,W,Weightlifting,Women's 59kg,ATH
Bronze Medal,3,08-08-2024,KUO Hsing-Chun,TPE,W,Weightlifting,Women's 59kg,ATH
Gold Medal,1,08-08-2024,Saeid ESMAEILI LEIVESI,IRI,M,Wrestling,Men's Greco-Roman 67kg,HATH
Silver Medal,2,08-08-2024,Parviz NASIBOV,UKR,M,Wrestling,Men's Greco-Roman 67kg,HATH
Bronze Medal,3,08-08-2024,Hasrat JAFAROV,AZE,M,Wrestling,Men's Greco-Roman 67kg,HATH
Bronze Medal,3,08-08-2024,Luis Alberto ORTA SANCHEZ,CUB,M,Wrestling,Men's Greco-Roman 67kg,HATH
Gold Medal,1,08-08-2024,Semen Sergeevich NOVIKOV,BUL,M,Wrestling,Men's Greco-Roman 87kg,HATH
Silver Medal,2,08-08-2024,Alireza MOHMADIPIANI,IRI,M,Wrestling,Men's Greco-Roman 87kg,HATH
Bronze Medal,3,08-08-2024,Zhan BELENIUK,UKR,M,Wrestling,Men's Greco-Roman 87kg,HATH
Bronze Medal,3,08-08-2024,Turpal Ali BISULTANOV,DEN,M,Wrestling,Men's Greco-Roman 87kg,HATH
Gold Medal,1,08-08-2024,FUJINAMI Akari,JPN,W,Wrestling,Women's Freestyle 53kg,HATH
Silver Medal,2,08-08-2024,Lucia Yamileth YEPEZ GUZMAN,ECU,W,Wrestling,Women's Freestyle 53kg,HATH
Bronze Medal,3,08-08-2024,CHOE Hyo Gyong,PRK,W,Wrestling,Women's Freestyle 53kg,HATH
Bronze Medal,3,08-08-2024,PANG Qianyu,CHN,W,Wrestling,Women's Freestyle 53kg,HATH
Gold Medal,1,09-08-2024,Canada,CAN,M,Athletics,Men's 4 x 100m Relay,TEAM
Silver Medal,2,09-08-2024,South Africa,RSA,M,Athletics,Men's 4 x 100m Relay,TEAM
Bronze Medal,3,09-08-2024,Great Britain,GBR,M,Athletics,Men's 4 x 100m Relay,TEAM
Gold Medal,1,09-08-2024,Rai BENJAMIN,USA,M,Athletics,Men's 400m Hurdles,ATH
Silver Medal,2,09-08-2024,Karsten WARHOLM,NOR,M,Athletics,Men's 400m Hurdles,ATH
Bronze Medal,3,09-08-2024,Alison dos SANTOS,BRA,M,Athletics,Men's 400m Hurdles,ATH
Gold Medal,1,09-08-2024,Jordan Alejandro DIAZ FORTUN,ESP,M,Athletics,Men's Triple Jump,ATH
Silver Medal,2,09-08-2024,Pedro PICHARDO,POR,M,Athletics,Men's Triple Jump,ATH
Bronze Medal,3,09-08-2024,Andy DIAZ HERNANDEZ,ITA,M,Athletics,Men's Triple Jump,ATH
Gold Medal,1,09-08-2024,Beatrice CHEBET,KEN,W,Athletics,"Women's 10,000m",ATH
Silver Medal,2,09-08-2024,Nadia BATTOCLETTI,ITA,W,Athletics,"Women's 10,000m",ATH
Bronze Medal,3,09-08-2024,Sifan HASSAN,NED,W,Athletics,"Women's 10,000m",ATH
Gold Medal,1,09-08-2024,United States,USA,W,Athletics,Women's 4 x 100m Relay,TEAM
Silver Medal,2,09-08-2024,Great Britain,GBR,W,Athletics,Women's 4 x 100m Relay,TEAM
Bronze Medal,3,09-08-2024,Germany,GER,W,Athletics,Women's 4 x 100m Relay,TEAM
Gold Medal,1,09-08-2024,Marileidy PAULINO,DOM,W,Athletics,Women's 400m,ATH
Silver Medal,2,09-08-2024,Salwa Eid NASER,BRN,W,Athletics,Women's 400m,ATH
Bronze Medal,3,09-08-2024,Natalia KACZMAREK,POL,W,Athletics,Women's 400m,ATH
Gold Medal,1,09-08-2024,Yemisi OGUNLEYE,GER,W,Athletics,Women's Shot Put,ATH
Silver Medal,2,09-08-2024,Maddison-Lee WESCHE,NZL,W,Athletics,Women's Shot Put,ATH
Bronze Medal,3,09-08-2024,SONG Jiayuan,CHN,W,Athletics,Women's Shot Put,ATH
Gold Medal,1,09-08-2024,ANA PATRICIA/DUDA,BRA,W,Beach Volleyball,Women,HTEAM
Silver Medal,2,09-08-2024,MELISSA/BRANDIE,CAN,W,Beach Volleyball,Women,HTEAM
Bronze Medal,3,09-08-2024,HUBERLI/BRUNNER,SUI,W,Beach Volleyball,Women,HTEAM
Gold Medal,1,09-08-2024,Asadkhuja MUYDINKHUJAEV,UZB,M,Boxing,Men's 71kg,HATH
Silver Medal,2,09-08-2024,Marco Alonso VERDE ALVAREZ,MEX,M,Boxing,Men's 71kg,HATH
Gold Medal,1,09-08-2024,Lazizbek MULLOJONOV,UZB,M,Boxing,Men's 92kg,HATH
Silver Medal,2,09-08-2024,Loren Berto ALFONSO DOMINGUEZ,AZE,M,Boxing,Men's 92kg,HATH
Gold Medal,1,09-08-2024,WU Yu,CHN,W,Boxing,Women's 50kg,HATH
Silver Medal,2,09-08-2024,Buse Naz CAKIROGLU,TUR,W,Boxing,Women's 50kg,HATH
Gold Medal,1,09-08-2024,Imane KHELIF,ALG,W,Boxing,Women's 66kg,HATH
Silver Medal,2,09-08-2024,YANG Liu,CHN,W,Boxing,Women's 66kg,HATH
Gold Medal,1,09-08-2024,AMI,JPN,W,Breaking,B-Girls,HATH
Silver Medal,2,09-08-2024,NICKA,LTU,W,Breaking,B-Girls,HATH
Bronze Medal,3,09-08-2024,671,CHN,W,Breaking,B-Girls,HATH
Gold Medal,1,09-08-2024,Martin FUKSA,CZE,M,Canoe Sprint,Men's Canoe Single 1000m,ATH
Silver Medal,2,09-08-2024,Isaquias QUEIROZ,BRA,M,Canoe Sprint,Men's Canoe Single 1000m,ATH
Bronze Medal,3,09-08-2024,Serghei TARNOVSCHI,MDA,M,Canoe Sprint,Men's Canoe Single 1000m,ATH
Gold Medal,1,09-08-2024,SCHOPF/LEMKE,GER,M,Canoe Sprint,Men's Kayak Double 500m,COUP
Silver Medal,2,09-08-2024,NADAS/TOTKA,HUN,M,Canoe Sprint,Men's Kayak Double 500m,COUP
Bronze Medal,3,09-08-2024,van der WE/GREEN,AUS,M,Canoe Sprint,Men's Kayak Double 500m,COUP
Gold Medal,1,09-08-2024,XU/SUN,CHN,W,Canoe Sprint,Women's Canoe Double 500m,COUP
Silver Medal,2,09-08-2024,LUZAN/RYBACHOK,UKR,W,Canoe Sprint,Women's Canoe Double 500m,COUP
Bronze Medal,3,09-08-2024,MACKENZIE/VINCENT,CAN,W,Canoe Sprint,Women's Canoe Double 500m,COUP
Gold Medal,1,09-08-2024,CARRINGTON/HOSKIN,NZL,W,Canoe Sprint,Women's Kayak Double 500m,COUP
Silver Medal,2,09-08-2024,CSIPES/GAZSO,HUN,W,Canoe Sprint,Women's Kayak Double 500m,COUP
Bronze Medal,3,09-08-2024,PASZEK/HAKE,GER,W,Canoe Sprint,Women's Kayak Double 500m,COUP
Bronze Medal,3,09-08-2024,PUPP/FOJT,HUN,W,Canoe Sprint,Women's Kayak Double 500m,COUP
Gold Medal,1,09-08-2024,Harrie LAVREYSEN,NED,M,Cycling Track,Men's Sprint,ATH
Silver Medal,2,09-08-2024,Matthew RICHARDSON,AUS,M,Cycling Track,Men's Sprint,ATH
Bronze Medal,3,09-08-2024,Jack CARLIN,GBR,M,Cycling Track,Men's Sprint,ATH
Gold Medal,1,09-08-2024,Italy,ITA,W,Cycling Track,Women's Madison,TEAM
Silver Medal,2,09-08-2024,Great Britain,GBR,W,Cycling Track,Women's Madison,TEAM
Bronze Medal,3,09-08-2024,Netherlands,NED,W,Cycling Track,Women's Madison,TEAM
Gold Medal,1,09-08-2024,CHEN Yiwen,CHN,W,Diving,Women's 3m Springboard,ATH
Silver Medal,2,09-08-2024,Maddison KEENEY,AUS,W,Diving,Women's 3m Springboard,ATH
Bronze Medal,3,09-08-2024,CHANG Yani,CHN,W,Diving,Women's 3m Springboard,ATH
Gold Medal,1,09-08-2024,Spain,ESP,M,Football,Men,HTEAM
Silver Medal,2,09-08-2024,France,FRA,M,Football,Men,HTEAM
Bronze Medal,3,09-08-2024,Germany,GER,W,Football,Women,HTEAM
Gold Medal,1,09-08-2024,Netherlands,NED,W,Hockey,Women,HTEAM
Silver Medal,2,09-08-2024,China,CHN,W,Hockey,Women,HTEAM
Bronze Medal,3,09-08-2024,Argentina,ARG,W,Hockey,Women,HTEAM
Gold Medal,1,09-08-2024,Kristof RASOVSZKY,HUN,M,Marathon Swimming,Men's 10km,ATH
Silver Medal,2,09-08-2024,Oliver KLEMET,GER,M,Marathon Swimming,Men's 10km,ATH
Bronze Medal,3,09-08-2024,David BETLEHEM,HUN,M,Marathon Swimming,Men's 10km,ATH
Gold Medal,1,09-08-2024,Valentin BONTUS,AUT,M,Sailing,Men's Kite,ATH
Silver Medal,2,09-08-2024,Toni VODISEK,SLO,M,Sailing,Men's Kite,ATH
Bronze Medal,3,09-08-2024,Maximilian MAEDER,SGP,M,Sailing,Men's Kite,ATH
Gold Medal,1,09-08-2024,Toby ROBERTS,GBR,M,Sport Climbing,Men's Boulder & Lead,ATH
Silver Medal,2,09-08-2024,ANRAKU Sorato,JPN,M,Sport Climbing,Men's Boulder & Lead,ATH
Bronze Medal,3,09-08-2024,Jakob SCHUBERT,AUT,M,Sport Climbing,Men's Boulder & Lead,ATH
Gold Medal,1,09-08-2024,China,CHN,M,Table Tennis,Men's Team,HTEAM
Silver Medal,2,09-08-2024,Sweden,SWE,M,Table Tennis,Men's Team,HTEAM
Bronze Medal,3,09-08-2024,France,FRA,M,Table Tennis,Men's Team,HTEAM
Gold Medal,1,09-08-2024,Firas KATOUSSI,TUN,M,Taekwondo,Men -80kg,HATH
Silver Medal,2,09-08-2024,Mehran BARKHORDARI,IRI,M,Taekwondo,Men -80kg,HATH
Bronze Medal,3,09-08-2024,Simone ALESSIO,ITA,M,Taekwondo,Men -80kg,HATH
Bronze Medal,3,09-08-2024,Edi HRNIC,DEN,M,Taekwondo,Men -80kg,HATH
Gold Medal,1,09-08-2024,Viviana MARTON,HUN,W,Taekwondo,Women -67kg,HATH
Silver Medal,2,09-08-2024,Aleksandra PERISIC,SRB,W,Taekwondo,Women -67kg,HATH
Bronze Medal,3,09-08-2024,Kristina TEACHOUT,USA,W,Taekwondo,Women -67kg,HATH
Bronze Medal,3,09-08-2024,Sarah CHAARI,BEL,W,Taekwondo,Women -67kg,HATH
Bronze Medal,3,09-08-2024,United States,USA,M,Volleyball,Men,HTEAM
Gold Medal,1,09-08-2024,Karlos May NASAR,BUL,M,Weightlifting,Men's 89kg,ATH
Silver Medal,2,09-08-2024,Yeison LOPEZ,COL,M,Weightlifting,Men's 89kg,ATH
Bronze Medal,3,09-08-2024,Antonino PIZZOLATO,ITA,M,Weightlifting,Men's 89kg,ATH
Gold Medal,1,09-08-2024,Olivia REEVES,USA,W,Weightlifting,Women's 71kg,ATH
Silver Medal,2,09-08-2024,Mari Leivis SANCHEZ,COL,W,Weightlifting,Women's 71kg,ATH
Bronze Medal,3,09-08-2024,Angie Paola PALACIOS DAJOMES,ECU,W,Weightlifting,Women's 71kg,ATH
Gold Medal,1,09-08-2024,HIGUCHI Rei,JPN,M,Wrestling,Men's Freestyle 57kg,HATH
Silver Medal,2,09-08-2024,Spencer Richard LEE,USA,M,Wrestling,Men's Freestyle 57kg,HATH
Bronze Medal,3,09-08-2024,Aman AMAN,IND,M,Wrestling,Men's Freestyle 57kg,HATH
Bronze Medal,3,09-08-2024,Gulomjon ABDULLAEV,UZB,M,Wrestling,Men's Freestyle 57kg,HATH
Gold Medal,1,09-08-2024,Magomed Eldarovitch RAMAZANOV,BUL,M,Wrestling,Men's Freestyle 86kg,HATH
Silver Medal,2,09-08-2024,Hassan YAZDANICHARATI,IRI,M,Wrestling,Men's Freestyle 86kg,HATH
Bronze Medal,3,09-08-2024,Aaron Marquel BROOKS,USA,M,Wrestling,Men's Freestyle 86kg,HATH
Bronze Medal,3,09-08-2024,Dauren KURUGLIEV,GRE,M,Wrestling,Men's Freestyle 86kg,HATH
Gold Medal,1,09-08-2024,SAKURAI Tsugumi,JPN,W,Wrestling,Women's Freestyle 57kg,HATH
Silver Medal,2,09-08-2024,Anastasia NICHITA,MDA,W,Wrestling,Women's Freestyle 57kg,HATH
Bronze Medal,3,09-08-2024,Helen Louise MAROULIS,USA,W,Wrestling,Women's Freestyle 57kg,HATH
Bronze Medal,3,09-08-2024,HONG Kexin,CHN,W,Wrestling,Women's Freestyle 57kg,HATH
Gold Medal,1,10-08-2024,China,CHN,W,Artistic Swimming,Duet,COUP
Silver Medal,2,10-08-2024,Great Britain,GBR,W,Artistic Swimming,Duet,COUP
Bronze Medal,3,10-08-2024,Netherlands,NED,W,Artistic Swimming,Duet,COUP
Gold Medal,1,10-08-2024,United States,USA,M,Athletics,Men's 4 x 400m Relay,TEAM
Silver Medal,2,10-08-2024,Botswana,BOT,M,Athletics,Men's 4 x 400m Relay,TEAM
Bronze Medal,3,10-08-2024,Great Britain,GBR,M,Athletics,Men's 4 x 400m Relay,TEAM
Gold Medal,1,10-08-2024,Jakob INGEBRIGTSEN,NOR,M,Athletics,Men's 5000m,ATH
Silver Medal,2,10-08-2024,Ronald KWEMOI,KEN,M,Athletics,Men's 5000m,ATH
Bronze Medal,3,10-08-2024,Grant FISHER,USA,M,Athletics,Men's 5000m,ATH
Gold Medal,1,10-08-2024,Emmanuel WANYONYI,KEN,M,Athletics,Men's 800m,ATH
Silver Medal,2,10-08-2024,Marco AROP,CAN,M,Athletics,Men's 800m,ATH
Bronze Medal,3,10-08-2024,Djamel SEDJATI,ALG,M,Athletics,Men's 800m,ATH
Gold Medal,1,10-08-2024,Hamish KERR,NZL,M,Athletics,Men's High Jump,ATH
Silver Medal,2,10-08-2024,Shelby McEWEN,USA,M,Athletics,Men's High Jump,ATH
